Text,Sentiment
kickers on my watchlist xide tit soq pnk cpw bpz aj trade method 1 or method 2 see previous posts,1
aap movie 55 percent return for the fea and geed indicator just 15 trades for the year awesome,1
id be afraid to short amzn to they are looking like a near monopoly in ebooks and infrastructure as a service,1
mnta over 12.00,1
oi over 21.37,1
pgnx over 3.04,1
aap to if so then the current downtrend will break otherwise just a short term correction in med term downtrend,-1
mondays relative weakness nyx win tie tap ice int bmc aon c chk biib,-1
goog to ower trend line channel test and volume support,1
aap will watch tomorrow for ong entry,1
im assuming fcx opens tomorrow above the 34.25 trigger buy still very much like this setup,1
it really worries me how everyone expects the market to rally now usually exact opposite happens every time we shall see soon bac spx jpm,1
aap gamcos arry haverty apple is extremely cheap great video,1
maykiljil posted that i agree that msft is going higher and possibly north of 30,1
momentum is coming back to etfc broke 200 moving average resistance on solid volume friday ong set up,1
ha hitting 35.65 means resume targeting 42 level,1
gameplan shot for today but i liked on trend break from may or cup and handle break oc weekly trend break back to july 2011,1
with fcx gapping well above ideal entry looking for a pull in to at least 35 on open for an entry,1
great list again particularly like fisv and syk all buy and hold types should check the free list out,1
athx upper trend line,1
ng to nice pnf by to breakout to need follow thru,1
wont believe aap uptrend is back until it crosses above 50 moving average,-1
x swing still on,1
swy 30 percent of float short and breaking out to ouch,1
biof wants 4.90 comin,1
vs inverted head and shoulder play out well wasnt able to catch the entry eyes on it,1
red not ready for break out,-1
ei close to breaking out now my trigger is at 30.40,1
bac for a quick trade to late but for investing 11.98 is a good entry point in my opinion,1
chdn to ong 49.02 trailing stop 56.66 from 6 prior stops of 54.17 49.88 49.82 45.47 43.02 and 41.92,1
aap vome today is impressive at this rate and well probably get to 30 million shares traded today,1
been adding vxy long off the bottom today for trade also got wpi near low,-1
i repeat if global economy is going to get better this year go with c instead of bac,1
goog go ong on close above 725,1
nkd looking like a good short failed to break price level resistance at 116 today,-1
gs like the price action so far holding above 130 still deciding whether to go ong calls or stocks,1
sbx buy when it clears resistance at 54.5,1
here is new up target for aap and notice shakeout reading at negative 8.49 and we had buy dot monday,1
too early to short into this move stock market needs a few days to settle down coh bwd dt aap pay,-1
aap obbers hit apple store in paris prefer to take merchendise over cash bullish,1
axa here is my tip of the day buy now you do not even have to sign up for a newsletter or anything o if im wrong i will eat crow,1
x out the .5 due to the move today and the kirby on the daily around 26.00 still swinging .5,1
aap 10 min short won now longs have fully added in look for a pop here with market shakeout reset,1
ng stellar move to still long swing to full position to i believe and in it 2,1
atice and tade setp ko an cnx,1
idcc 50 simple moving average acting as a good support short term momentum indicators have switched to the upside,1
new post bac is at 19 month highs but showing signs of stress,1
c two daily bull flags on top of each other equals bullish still,1
ng to traditional and at point and figure to bullish by signals multiyear high,1
jpm closed greater than 10 simple moving average on mondayu know my rules large cup n handle still bullish,1
eog ascending triangle to original target 127 extension eps feb 11 .5 position swing,1
aapl daily broke downtrendfrom closing prices now w v pattern back in play 600 target,1
phm pultegroup option bear bets 1.5 million on 11 percent down move by april,-1
bac in a 11.97 for a trade,1
short setups displaying relative weakness ao coh pay bwd dt shd wtw p prepare to short the stall esf,-1
when amzn monetize all electronics it makes with traffic to marketplace aap goog will wake up and say why didnt we buy ebay,1
cvi starting with a clean book making first buy of the year to entry 49.54 stop 47.43,1
sam cheers to the temporary solution to our economic woes to entry 139.81 stop 131.92,1
sk to the gave,-1
ovti ttm ending oct 2012 negative 151 million operational cash flow 273 percent decline vs yoy ttm ending oct 2011,-1
aap and goog should respond positively to good jobless claims numbers,1
analyst price targets and earnings targets coming down exacty what you want to see prior aap reporting,1
nice color me an intc bull as well,1
heads p aa earnings ess than a week away tho the season doesnt eay begin cranking til with gs jpm ebay et al,1
trade idea buy wo market 26.64 target 36 cut below 23.50,1
trade idea buy dc market 58.50 target 67 cut below 53,1
goog looks all set to make new ath now before or after e is the unknown,1
goog trade this one long verse 10 simple moving average,1
fnf to ong 19.43 trailing stop 21.04 from 6 prior stops of 19.71 19.52 18.70 18.65 18.07 and 17.87,1
fod should see a solid move up tom system predict nice green candle,1
this is the year of fitness and health apps the winners will be gynormous and the speculation will run high nke,1
its time to invest in msft compq,1
new post shorts will make dimes ongs will make dollars aap spx qqq p,1
nbelieveable payment trend that vcs are chasing has easily played out in public markets ebay v and mastercard ma all time highs,1
some of the watch list stocks that triggered today oex agnx tv vbd xide ppc exp onty bmn fs week chmt fbc isi aig,1
nice bull flag breakout here oc,1
my setup alerts went bonkers today one of many that got triggered cup and handle breakout in pfe,1
the host with the most congrats to the cloud today ax and more all time highs wow,1
x did s steel just breakout mt too,1
dndn has broken through the clear 5.5 resistanc level on heavy volume and could be headed much higher,1
expe looks good for higher prices,1
apc weekly setting up long,1
i am going into this morning long 3 each aap 560 call options and goog 725 calls jan 4 expiration,1
esf path higher unthreatened unless 1452.25 support fails see resistance at 1466.00 spx,1
monitor the s line and price dynamic stocks that closed dec 28 with the s line in new highs be4 price mho tsm ipgp eqix bc bdc ash,1
ddd idcc continue higher,1
had hoped to pick up some ost today but looks like im a day too late nice move up this morning,1
gps wow that wa s a fast fast fade,-1
amzn going above 260 should go near 300 if market behaves for a few weeks,1
huston we have a geen aap,1
p long 9.55,1
hn breakout but 3 day up so look for pullback to enter long,1
ng to ascend triangle much like fs and x breakouts 127 exten then 161.8 targets to fibs subjective,1
kcg things that make you go hmmmm,1
vng to huge news from patent attorney dan avicher,1
ng nhod to check the weekly to target previous lows 2006,1
ng nhod to what do you see check the weekly to target previous lows 2006,1
aig american international group option traders bet on 4 percent down move by next friday,-1
p out balance .32,1
vng buys vs sells,1
bac in 12.00 since there is consolidation this level we could close equals 12.09 if market is stable in pm in my opinion,1
vng parabolic moves are a comin,1
new sony pre owned block tech patent unearthed sne 50 percent of gme profits from pre owned last one out turn off the lights,-1
we liked vs we love wynn from 111 entry to new up target yesterday at 121 very nice,1
spx 1464.90 wave iv would be 20 points lower 1467.00 key esf hod 1460.00 under neckline 1458.50 very bearish,-1
ddd consolidating the strong move from previous days between 55 and 60 next buy point above 60 on volume holding,1
vng 12 million shares shorts plus long buying equals massive vng short squeeze just when you thought story was dead avicher kills short thesis,1
wow not good for bks t sales for the nook were down 13 percent over the holidays,-1
ac from watch list to volume did pick up and is now 139 percent of full day average from 200 day bounce,1
the new wightwatchers ads are more fun and light and with regular people more interesting but i still dont trust them wtw no position,-1
amzn holding up well to next buy point when clears this upper trend line on heavy volume,1
ma exactly what you want to see a follow thru day after breaking out to new highs on volume,1
zcs theres your buying,1
aap spy no more qe for 2013 now bring the geithner,-1
over extended stock market and unexpected news from the fed minutes equals down esd and a panicky esf nqf,-1
spy ncle ben needed to spice up things a little aap people were bored wake up now,-1
aap might close at the lows of the day bears will be in control again below the descending trendline watch it,-1
fan to seeking 200 days im adding some synthetic shorts here and will add again at 200 days,-1
cwst low of day 4.50 near high of day 4.56 watchn for break out minimal risk,1
all of the above gme gamestop short targets spy,-1
time to get out of the stocks vmw cm,-1
bac keep overniight mmy pos will bin premarket tmorrow too,1
polk expects 2013 s new vehicle egistrations to each 15.3 million to polk f gm i think this is low,1
very bullish on market also talked trends for scty ost angi fio panw a jcp p yep mnst gpn on show,1
bac what happens next,-1
kcg someone bought 3.22 thousand 4 jan 18 calls,1
man i didnt know about skippy when i made this would have thrown in a jar h,1
big move in bonds today 7 months high for 10 y rate still going lower here znf could get truly ugly if good nfp number in am spy tt,1
